"","fam_log","family_members_no","age","marital_status","house_damage","abroad","district","pa_name_self","start_reconstruct","consult_knowledge","pa_name","visit_office","self_visit"
"1",1.6094379124341,5,34,1,1,0,"Lalitpur",0,1,0,0,0,NA
"2",2.19722457733622,9,58,1,2,1,"Makawanpur",1,1,1,2,1,1
"3",1.38629436111989,4,27,1,2,0,"Kathmandu",0,1,1,0,1,1
"4",1.79175946922805,6,24,1,2,0,"Kathmandu",0,0,0,1,0,NA
"5",1.38629436111989,4,32,1,2,0,"Sindhuli",0,1,0,0,1,0
"6",1.09861228866811,3,24,1,1,0,"Kathmandu",0,0,0,1,0,NA
"7",1.38629436111989,4,35,1,0,0,"Ramechhap",0,1,1,0,1,0
"8",1.94591014905531,7,19,1,1,0,"Gorkha",0,1,1,0,1,0
"9",1.38629436111989,4,45,1,2,0,"Nuwakot",0,1,0,0,1,0
"10",1.6094379124341,5,30,1,1,0,"Lalitpur",0,1,1,0,1,0
"11",1.38629436111989,4,41,1,1,1,"Sindhupalchowk",1,1,1,2,1,1
"12",1.6094379124341,5,55,1,2,1,"Ramechhap",0,1,1,0,1,0
"13",1.94591014905531,7,27,1,2,0,"Okhaldhunga",0,1,0,0,1,0
"14",0,1,62,0,2,0,"Sindhupalchowk",1,1,1,2,1,1
"15",1.38629436111989,4,32,1,2,1,"Kavrepalanchok",1,0,0,2,0,NA
"16",1.6094379124341,5,33,1,1,0,"Nuwakot",0,1,0,1,0,NA
"17",1.38629436111989,4,23,1,2,0,"Ramechhap",0,0,0,0,NA,NA
"18",1.38629436111989,4,40,1,2,0,"Sindhuli",1,1,1,2,1,1
"19",0,1,73,0,1,0,"Bhaktapur",1,0,0,2,0,NA
"20",1.09861228866811,3,35,1,2,0,"Kathmandu",1,1,1,2,0,NA
"21",1.38629436111989,4,26,1,0,0,"Kathmandu",1,1,0,2,0,NA
"22",1.38629436111989,4,32,1,0,0,"Ramechhap",NA,0,1,NA,0,NA
"23",1.38629436111989,4,30,1,1,1,"Nuwakot",1,1,1,2,1,1
"24",1.94591014905531,7,40,1,2,0,"Nuwakot",0,1,0,0,0,NA
"25",1.38629436111989,4,22,1,1,1,"Nuwakot",0,1,0,0,1,1
"26",1.38629436111989,4,33,1,2,0,"Sindhuli",0,1,0,0,1,0
"27",1.6094379124341,5,29,1,2,0,"Sindhuli",0,1,1,0,0,NA
"28",1.94591014905531,7,30,1,0,0,"Bhaktapur",0,1,1,1,0,NA
"29",1.94591014905531,7,40,1,1,0,"Kathmandu",0,0,0,0,0,NA
"30",1.6094379124341,5,35,1,2,0,"Sindhuli",0,1,1,0,1,0
"31",1.79175946922805,6,23,1,2,0,"Sindhuli",0,0,0,1,1,0
"32",1.6094379124341,5,25,1,2,0,"Ramechhap",0,1,1,0,1,0
"33",1.38629436111989,4,32,1,2,0,"Nuwakot",0,0,1,0,1,0
"34",1.38629436111989,4,30,1,2,0,"Sindhuli",0,1,1,0,1,0
"35",1.38629436111989,4,35,1,2,0,"Nuwakot",0,1,1,0,1,1
"36",1.09861228866811,3,21,1,2,0,"Kathmandu",0,1,1,0,NA,NA
"37",1.38629436111989,4,42,1,1,1,"Dolakha",1,1,1,2,1,1
"38",1.38629436111989,4,41,1,2,0,"Makawanpur",0,1,1,0,1,0
"39",1.94591014905531,7,49,1,2,0,"Ramechhap",0,1,1,0,1,0
"40",1.38629436111989,4,28,1,1,0,"Nuwakot",0,1,1,0,1,0
"41",1.6094379124341,5,50,1,1,0,"Bhaktapur",NA,0,0,NA,0,NA
"42",1.6094379124341,5,33,1,2,1,"Nuwakot",0,1,0,0,1,1
"43",1.38629436111989,4,37,1,2,1,"Dhading",0,1,1,0,0,NA
"44",2.39789527279837,11,56,1,2,1,"Makawanpur",0,1,1,0,0,NA
"45",0,1,65,0,2,0,"Okhaldhunga",1,1,0,2,1,1
"46",1.38629436111989,4,32,1,2,1,"Kathmandu",NA,0,1,NA,0,NA
"47",1.38629436111989,4,31,1,2,1,"Rasuwa",0,1,1,0,1,1
"48",2.30258509299405,10,42,1,0,1,"Okhaldhunga",NA,0,1,NA,0,NA
"49",1.6094379124341,5,48,1,0,0,"Lalitpur",0,1,0,0,0,NA
"50",1.6094379124341,5,49,1,1,0,"Bhaktapur",0,0,0,0,0,NA
"51",1.38629436111989,4,63,0,1,0,"Kathmandu",0,0,1,0,0,NA
"52",1.38629436111989,4,45,1,2,0,"Rasuwa",0,1,1,0,1,0
"53",1.6094379124341,5,55,0,2,0,"Rasuwa",1,1,1,2,0,NA
"54",0.693147180559945,2,87,1,2,0,"Bhaktapur",0,0,0,0,0,NA
"55",1.6094379124341,5,40,0,1,0,"Rasuwa",1,1,1,2,1,1
"56",1.38629436111989,4,38,1,1,1,"Dolakha",1,1,1,2,1,1
"57",1.6094379124341,5,75,0,2,0,"Kathmandu",1,0,0,2,1,1
"58",0.693147180559945,2,36,1,2,0,"Rasuwa",0,1,1,1,1,1
"59",1.6094379124341,5,30,1,2,0,"Rasuwa",1,1,1,2,1,1
"60",1.94591014905531,7,36,1,2,0,"Nuwakot",0,1,1,0,1,0
"61",2.19722457733622,9,28,1,2,1,"Dhading",0,1,1,1,1,0
"62",1.6094379124341,5,36,1,1,0,"Bhaktapur",0,0,1,0,0,NA
"63",1.38629436111989,4,35,1,1,1,"Dolakha",1,1,1,2,1,1
"64",1.09861228866811,3,38,1,2,1,"Dolakha",1,1,1,2,1,1
"65",1.6094379124341,5,35,1,2,0,"Dhading",0,1,1,0,1,0
"66",2.484906649788,12,35,1,2,0,"Nuwakot",0,1,0,1,0,NA
"67",1.09861228866811,3,34,1,2,0,"Dolakha",0,1,1,0,1,0
"68",1.38629436111989,4,47,1,1,1,"Bhaktapur",NA,0,1,NA,0,NA
"69",1.09861228866811,3,72,1,2,0,"Kathmandu",0,0,0,0,0,NA
"70",1.38629436111989,4,47,1,1,1,"Nuwakot",1,1,1,2,1,1
"71",1.6094379124341,5,51,0,1,0,"Nuwakot",1,1,1,2,1,1
"72",2.07944154167984,8,25,1,2,0,"Makawanpur",0,1,1,1,0,NA
"73",1.79175946922805,6,32,1,2,0,"Kavrepalanchok",1,1,1,2,1,1
"74",1.38629436111989,4,34,1,1,0,"Bhaktapur",0,0,0,1,0,NA
"75",1.38629436111989,4,40,1,2,0,"Dolakha",1,1,1,2,1,1
"76",1.09861228866811,3,46,0,1,0,"Kavrepalanchok",1,1,1,2,1,1
"77",0.693147180559945,2,55,0,2,0,"Sindhupalchowk",1,1,1,2,1,1
"78",1.6094379124341,5,35,1,2,1,"Okhaldhunga",1,1,1,2,1,1
"79",2.30258509299405,10,50,1,2,0,"Ramechhap",0,1,1,0,1,0
"80",1.09861228866811,3,26,0,2,0,"Sindhupalchowk",0,1,1,1,1,1
"81",1.09861228866811,3,34,1,2,0,"Dhading",1,1,1,2,0,NA
"82",2.07944154167984,8,45,1,2,1,"Okhaldhunga",0,1,1,0,1,0
"83",1.79175946922805,6,35,1,2,0,"Ramechhap",0,1,1,0,1,0
"84",1.6094379124341,5,36,1,2,0,"Sindhuli",0,1,0,0,NA,NA
"85",1.6094379124341,5,36,1,1,0,"Sindhuli",0,1,0,0,NA,NA
"86",1.79175946922805,6,41,1,0,0,"Okhaldhunga",NA,0,1,NA,0,NA
"87",1.79175946922805,6,41,1,1,0,"Bhaktapur",0,0,1,1,0,NA
"88",1.38629436111989,4,72,1,1,1,"Ramechhap",0,1,1,1,1,0
"89",1.09861228866811,3,32,1,2,1,"Makawanpur",0,1,1,0,1,0
"90",0.693147180559945,2,35,0,2,1,"Dolakha",1,1,1,2,0,NA
"91",1.6094379124341,5,38,1,0,0,"Kathmandu",NA,0,0,NA,0,NA
"92",1.38629436111989,4,32,1,1,0,"Nuwakot",NA,0,1,NA,0,NA
"93",1.09861228866811,3,23,1,2,1,"Dhading",1,1,1,2,0,NA
"94",1.6094379124341,5,40,1,2,0,"Nuwakot",0,1,1,0,1,1
"95",1.94591014905531,7,37,1,2,0,"Okhaldhunga",0,1,1,1,1,1
"96",1.6094379124341,5,32,1,2,1,"Dhading",0,1,1,1,1,0
"97",2.39789527279837,11,66,0,1,0,"Sindhuli",1,1,0,2,0,NA
"98",1.79175946922805,6,26,1,2,0,"Sindhuli",0,1,1,0,1,0
"99",1.6094379124341,5,38,1,0,0,"Bhaktapur",NA,0,0,NA,0,NA
"100",1.09861228866811,3,61,1,2,0,"Dhading",0,1,1,0,1,0
"101",0,1,73,1,1,0,"Kavrepalanchok",1,0,0,2,0,NA
"102",1.38629436111989,4,58,1,1,0,"Gorkha",0,1,0,0,1,0
"103",1.6094379124341,5,32,1,2,0,"Gorkha",0,1,1,0,1,1
"104",1.38629436111989,4,40,1,0,1,"Bhaktapur",1,1,1,2,1,1
"105",1.79175946922805,6,40,0,0,1,"Gorkha",1,1,1,2,1,1
"106",1.09861228866811,3,43,0,2,0,"Gorkha",1,1,1,2,1,1
"107",1.6094379124341,5,57,0,2,0,"Gorkha",1,1,1,2,0,NA
"108",1.79175946922805,6,35,1,2,0,"Gorkha",1,1,1,2,1,1
"109",1.09861228866811,3,35,1,2,1,"Gorkha",1,0,1,2,1,1
"110",1.6094379124341,5,50,1,2,0,"Gorkha",1,1,1,2,0,NA
"111",2.07944154167984,8,36,1,2,0,"Gorkha",0,1,1,1,1,1
"112",1.09861228866811,3,40,1,2,0,"Gorkha",1,1,1,2,1,0
"113",0,1,40,0,2,0,"Gorkha",1,0,1,2,0,NA
"114",1.38629436111989,4,38,1,2,0,"Gorkha",0,1,0,1,1,1
"115",1.09861228866811,3,43,1,2,0,"Gorkha",0,1,1,0,1,0
"116",1.38629436111989,4,39,0,2,0,"Gorkha",NA,0,0,NA,0,NA
"117",1.6094379124341,5,36,1,2,0,"Gorkha",0,1,1,0,1,0
"118",1.6094379124341,5,36,1,2,0,"Gorkha",1,1,1,2,1,1
"119",1.09861228866811,3,33,0,2,0,"Gorkha",1,1,1,2,1,1
"120",1.6094379124341,5,38,1,0,1,"Gorkha",0,1,1,0,1,1
"121",1.79175946922805,6,45,1,2,1,"Gorkha",0,0,1,0,1,1
"122",1.09861228866811,3,30,1,0,1,"Gorkha",NA,0,1,NA,1,1
"123",1.38629436111989,4,45,0,0,0,"Gorkha",NA,0,0,NA,0,NA
"124",1.38629436111989,4,54,0,2,0,"Gorkha",1,1,1,2,1,1
"125",1.6094379124341,5,34,1,2,0,"Gorkha",0,1,1,1,1,0
"126",1.38629436111989,4,28,1,0,0,"Kathmandu",1,1,1,2,1,1
"127",1.09861228866811,3,60,0,2,0,"Kathmandu",0,0,0,1,0,NA
"128",1.09861228866811,3,20,1,0,0,"Okhaldhunga",NA,0,1,NA,0,NA
"129",1.09861228866811,3,60,1,2,0,"Kathmandu",0,0,0,1,0,NA
"130",1.38629436111989,4,60,1,0,0,"Lalitpur",1,1,0,2,0,NA
"131",1.38629436111989,4,26,1,2,0,"Okhaldhunga",0,1,1,0,1,0
"132",1.79175946922805,6,24,1,2,1,"Sindhuli",0,1,0,0,0,NA
"133",0.693147180559945,2,54,1,2,0,"Makawanpur",1,1,1,2,1,1
"134",1.09861228866811,3,36,1,1,1,"Dolakha",1,1,1,2,1,1
"135",1.09861228866811,3,32,1,2,0,"Kathmandu",1,1,0,2,0,NA
"136",1.6094379124341,5,39,1,2,1,"Sindhuli",1,1,1,2,1,1
"137",1.09861228866811,3,50,0,0,0,"Lalitpur",1,1,1,2,1,1
"138",1.38629436111989,4,45,1,2,0,"Sindhuli",0,1,0,0,0,NA
"139",0,1,80,0,2,0,"Sindhupalchowk",1,1,1,2,1,1
"140",1.6094379124341,5,30,1,2,0,"Nuwakot",0,1,0,0,0,NA
"141",1.09861228866811,3,35,1,1,1,"Dolakha",1,1,1,2,1,1
"142",1.6094379124341,5,22,1,2,0,"Rasuwa",0,1,0,0,1,0
"143",1.6094379124341,5,27,1,2,1,"Ramechhap",0,1,1,0,1,0
"144",1.09861228866811,3,36,0,2,0,"Ramechhap",1,1,1,2,1,1
"145",1.38629436111989,4,24,1,2,0,"Sindhuli",0,1,1,1,1,0
"146",1.79175946922805,6,26,1,2,1,"Makawanpur",0,1,1,1,0,NA
"147",1.38629436111989,4,30,0,1,0,"Sindhuli",0,1,0,0,0,NA
"148",1.38629436111989,4,24,1,1,0,"Dhading",0,1,1,1,1,0
"149",1.38629436111989,4,27,1,1,0,"Bhaktapur",0,1,1,1,1,0
"150",1.94591014905531,7,20,1,2,0,"Nuwakot",0,1,0,1,0,NA
"151",1.38629436111989,4,32,1,2,0,"Ramechhap",0,1,1,0,1,0
"152",1.38629436111989,4,36,1,1,0,"Sindhuli",0,1,0,0,0,NA
"153",1.79175946922805,6,43,1,2,0,"Dhading",1,1,1,2,1,1
"154",2.07944154167984,8,53,0,1,1,"Sindhuli",1,1,0,2,0,NA
"155",1.79175946922805,6,24,1,2,1,"Okhaldhunga",0,1,1,1,1,0
"156",1.38629436111989,4,40,0,2,0,"Sindhupalchowk",1,1,1,2,1,1
"157",1.79175946922805,6,28,1,2,1,"Makawanpur",0,1,1,1,1,0
"158",1.38629436111989,4,30,1,0,0,"Kathmandu",NA,0,0,NA,0,NA
"159",1.09861228866811,3,44,0,2,0,"Sindhupalchowk",1,1,0,2,0,NA
"160",1.6094379124341,5,38,1,2,0,"Kavrepalanchok",1,1,1,2,0,NA
"161",3.40119738166216,30,35,1,2,0,"Kathmandu",1,1,0,2,0,NA
"162",1.6094379124341,5,39,1,1,0,"Kathmandu",0,0,0,0,0,NA
"163",1.38629436111989,4,18,1,2,0,"Dhading",0,1,1,1,0,NA
"164",1.79175946922805,6,30,1,1,0,"Nuwakot",0,1,0,0,1,1
"165",0.693147180559945,2,43,1,2,1,"Ramechhap",1,1,1,2,1,1
"166",1.38629436111989,4,37,1,2,0,"Kathmandu",NA,0,0,NA,0,NA
"167",1.09861228866811,3,31,1,0,0,"Bhaktapur",NA,0,1,NA,0,NA
"168",1.94591014905531,7,20,1,2,1,"Okhaldhunga",0,1,1,1,1,0
"169",1.38629436111989,4,32,1,1,0,"Sindhuli",0,1,0,0,1,0
"170",1.38629436111989,4,42,1,1,1,"Dolakha",1,1,1,2,1,1
"171",1.38629436111989,4,31,1,2,0,"Nuwakot",1,1,0,2,0,NA
"172",1.09861228866811,3,55,0,2,0,"Kavrepalanchok",1,1,1,2,1,1
"173",1.6094379124341,5,50,0,2,0,"Kavrepalanchok",NA,1,1,NA,1,1
"174",2.19722457733622,9,63,1,0,1,"Kavrepalanchok",1,1,0,2,0,NA
"175",1.38629436111989,4,52,1,1,0,"Lalitpur",1,1,1,2,0,NA
"176",1.79175946922805,6,60,0,1,1,"Bhaktapur",1,0,0,2,0,NA
"177",0.693147180559945,2,60,0,1,0,"Lalitpur",1,1,1,2,1,1
"178",1.38629436111989,4,34,1,2,1,"Rasuwa",0,1,1,0,1,1
"179",2.07944154167984,8,40,1,1,1,"Makawanpur",0,1,1,0,1,0
"180",1.79175946922805,6,44,1,2,0,"Rasuwa",0,1,0,0,0,NA
"181",1.94591014905531,7,70,1,0,0,"Lalitpur",0,1,0,1,0,NA
"182",1.6094379124341,5,39,1,2,0,"Makawanpur",0,1,1,0,1,0
"183",1.6094379124341,5,40,1,2,0,"Ramechhap",0,1,1,0,1,0
"184",1.6094379124341,5,35,1,2,1,"Sindhuli",1,1,1,2,1,1
"185",2.07944154167984,8,30,1,0,1,"Lalitpur",0,0,0,1,0,NA
"186",1.38629436111989,4,46,1,1,0,"Dolakha",1,1,1,2,1,1
"187",1.6094379124341,5,39,1,2,1,"Dolakha",1,1,1,2,1,1
"188",1.79175946922805,6,34,1,2,1,"Okhaldhunga",0,1,1,0,1,1
"189",1.38629436111989,4,48,1,2,0,"Lalitpur",0,0,0,0,NA,NA
"190",1.6094379124341,5,53,1,2,0,"Ramechhap",0,1,1,1,1,0
"191",1.6094379124341,5,62,0,2,0,"Bhaktapur",1,0,0,2,0,NA
"192",1.09861228866811,3,56,1,1,0,"Bhaktapur",0,0,0,1,0,NA
"193",1.94591014905531,7,53,1,2,0,"Bhaktapur",0,1,0,0,0,NA
"194",1.79175946922805,6,34,1,2,0,"Okhaldhunga",0,1,1,0,1,0
"195",1.79175946922805,6,32,1,2,0,"Okhaldhunga",0,1,1,0,1,0
"196",0.693147180559945,2,52,0,2,1,"Okhaldhunga",1,0,1,2,0,NA
"197",1.09861228866811,3,20,1,2,0,"Rasuwa",0,1,1,0,1,1
"198",0,1,70,0,1,0,"Rasuwa",1,0,0,2,0,NA
"199",1.38629436111989,4,42,1,0,1,"Kathmandu",NA,0,1,NA,0,NA
"200",1.79175946922805,6,40,1,1,0,"Makawanpur",1,1,1,2,1,1
"201",1.6094379124341,5,28,1,2,0,"Lalitpur",0,1,0,1,0,NA
"202",0,1,46,1,2,1,"Lalitpur",NA,0,0,NA,0,NA
"203",1.79175946922805,6,45,0,2,0,"Kavrepalanchok",NA,1,0,NA,0,NA
"204",1.94591014905531,7,42,1,1,0,"Lalitpur",0,1,0,0,0,NA
"205",1.38629436111989,4,36,0,2,0,"Kavrepalanchok",1,1,1,2,1,1
"206",0.693147180559945,2,48,0,2,1,"Sindhupalchowk",1,1,1,2,1,1
"207",2.39789527279837,11,29,1,2,1,"Makawanpur",0,1,1,1,1,1
"208",1.6094379124341,5,28,1,1,0,"Kathmandu",0,0,0,0,0,NA
"209",1.38629436111989,4,29,1,2,0,"Ramechhap",0,1,1,0,1,0
"210",1.09861228866811,3,43,1,1,0,"Lalitpur",0,0,0,0,NA,NA
"211",1.94591014905531,7,24,1,2,0,"Nuwakot",0,1,0,0,0,NA
"212",1.09861228866811,3,40,1,2,0,"Bhaktapur",0,1,1,0,0,NA
"213",1.6094379124341,5,29,1,2,1,"Rasuwa",0,1,1,0,1,1
"214",1.09861228866811,3,36,1,2,1,"Dolakha",1,1,1,2,1,1
"215",1.09861228866811,3,45,1,1,0,"Kavrepalanchok",1,1,1,2,1,1
"216",0.693147180559945,2,40,1,2,0,"Makawanpur",1,1,1,2,1,1
"217",1.38629436111989,4,29,1,2,0,"Makawanpur",0,1,1,0,1,0
"218",1.79175946922805,6,26,1,0,0,"Ramechhap",1,1,1,2,1,1
"219",1.38629436111989,4,26,1,2,1,"Okhaldhunga",1,1,1,2,1,1
"220",1.09861228866811,3,42,1,1,0,"Dolakha",1,1,1,2,1,1
"221",1.09861228866811,3,44,1,2,1,"Sindhuli",0,0,1,1,1,1
"222",1.79175946922805,6,61,1,0,0,"Lalitpur",NA,1,1,NA,0,NA
"223",1.09861228866811,3,52,0,0,0,"Kavrepalanchok",1,0,0,2,0,NA
"224",0,1,81,0,2,0,"Kavrepalanchok",1,1,0,2,0,NA
"225",1.09861228866811,3,50,1,2,0,"Dhading",1,1,1,2,0,NA
"226",1.94591014905531,7,42,1,2,0,"Dhading",0,1,1,1,1,0
"227",0.693147180559945,2,64,0,1,0,"Lalitpur",1,0,0,2,0,NA
